0,CitingID,Title,SharingAuthor,RetractionMentioned,Citation Text,Citation Section,Class,CitedAlone,NoofTime,Journal/Book,Publication Year,Create Date,RetractedClass,S1,S2,S3,S4,S5,AvgSim
23777537,25867667,Long-term Management of Thymic Lymphoma in a Java Sparrow (Lonchura oryzivora),No,No,"Thymomas, classified histologically as either epithelial or lymphocytic, are rarely reported in avian species and have only been documented in an African grey parrot (Psittacus erithacus), a finch (unspecified species), domestic chickens, budgerigars (Melopsittacus undulatus), Java sparrow,16 and a red-tail common mynah bird (Acridotheres tristis).17* Thymoma is the main differential diagnosis for thymic lymphoma and can be easily confused because they are sometimes accompanied to a greater or lesser degree by small lymphocytes.Also, a cervical type AB thymoma (mixed) tumor was diagnosed in a mynah with the help of clinicohistologic, immunohistochemical, and cytohistopathologic study*.",Introduction,NotHarmful,No,1,J Avian Med Surg,2015,4/14/2015,NotRetracted,0.561378,0.85503215,0.43923128,0.51477474,0.63220525,0.600524284
23777537,33525992,"Thymoma in an aged backyard Leghorn chicken, with reviews of a database and literature",No,No,"Thymomas in avian species have been described only rarely, with cases documented in 2 domestic chickens, a myna (Acridotheres tristis), an owl (Athene cunicularia), a macaw, a Senegal parrot (Poicephalus senegalus), a budgerigar (Melopsittacus undulatus), a finch (Haemorhous sp.), a Java sparrow (Padda oryzivora), and an American robin (Turdus migratorius).2,4,6–10,13,16,17* We describe the clinical history, gross lesions, and microscopic lesions of a thymoma in a backyard Leghorn chicken. 2:IHC targeting pancytokeratin and CD3 was useful for diagnosis and differentiation from other causes of cervical enlargement in birds, such as thymic lymphoma, thymic carcinoma, and a fibriscess.6,13* Synaptophysin and chromogranin IHC were utilized to rule out parathyroid neoplasia. The cytokeratin 5, 6, 14, and 18 IHC that we utilized in this case were not developed or validated for use in avian species, which may explain the lack of immunoreactivity. Based on the 30-y retrospective search of the CAHFS database and published cases, thymomas have been diagnosed in domestic chickens, parrots, a budgerigar, a myna, an owl, a finch, a Java sparrow, a robin, and a duck; thymoma is a rare finding in birds.2,4,6–10,13,16,17*",Introduction,NotHarmful,No,1,J Vet Diagn Invest,2021,2/2/2021,NotRetracted,0.46164763,0.79035616,0.55460894,0.47663096,0.53701085,0.564050908
23777537,30204023,Mixed Thymoma in an American Robin ( Turdus migratorius),No,No,"The cells showed scant cytoplasm, well-defined borders, round to oval nuclei with thick granular chromatin, moderate anisokaryosis, and 1–2 prominent nucleoli. Because a definitive diagnosis could not be made based on these results, surgical excision and biopsy was elected*.",Introduction,NotHarmful,Yes,1,J Avian Med Surg,2018,9/12/2018,NotRetracted,0.64721465,0.6943055,0.4941038,0.5661547,0.72573435,0.6255026
23777537,,"The expression pattern of ACTBL2 in thymoma reveals its
potential therapeutic target efficacy",No,No,"Thymoma is a primary mediastinal tumor, a kind of typical cancer with non-neoplastic lymphocytes [1]. It is characterized by differentiation into thymic epithelial cells [2], and also manifests as oppressive symptoms or anterior mediastinal mass [3]. It is a rare epithelial mediastinal tumor, usually associated with a local and intrathoracic recurrence of a certain tendency [4], but it accounts for 1% of all adult malignancies.",Introduction,NotHarmful,Yes,1,,,,NotRetracted,0.54027295,0.59184504,0.3359179,0.6039108,0.7157936,0.557548058
23777537,31967407,Deciphering tissue-based proteome signatures revealed novel subtyping and prognostic markers for thymic epithelial tumors,No,No,"The type A thymoma derives from the central medulla region of thymus and has neoplastic cells with spindle or oval shape, whereas the type B thymomas originate from thymic cortex on the periphery with the presence of immature lymphocytes (Weksler and Lu, 2014). Type AB thymoma is generally regarded to combine features from both type A and type B (Green et al.,2015; Khaki et al., 2013)*. The TC, often occurring in 5–10% of the TET patients (Kelly, 2013; Lamarca et al., 2013; Ried et al., 2016), consists of a variety of diverse tumors, among which thymic squamous cell carcinoma (TSCC) is the most frequently observed (Marx et al., 2014; Moser et al., 2014; Scorsetti et al.,2016; Takahama et al., 2017; Weissferdt et al., 2012; Wu et al., 2016).",Introduction,NotHarmful,No,1,Mol Oncol,2020,1/23/2020,NotRetracted,0.5780078,0.53925425,0.5196901,0.66577256,0.797783,0.620101542
23777537,,OUTCOMES OF SURGICAL RECONSTRUCTION OF THE SUPERIOR VENA CAVA SYNDROME IN PATIENTS WITH LOCALLY ADVANCED THYMOMAS,No,No,"The superior vena cava syndrome (SVCS) was first described in 1757 [1, 2]. Reduced blood flow in the superior vena cava (SVC) system decreases the amount of venous blood in the right auricle, causing a number of clinical characteristics and symptoms, such as dilated neck veins, oedematous upper limbs, cyanosis, headache, dyspnoea, cough, and dysphagia [3, 4].",Introduction,Recommending,No,1,,,,NotRetracted,0.6425005,0.52406216,0.29404414,0.45343333,0.5581328,0.494434586
23777537,24636669,Retracted: Histopathological features of bone regeneration in a canine segmental ulnar defect model,Yes,Yes,"Nonunion of the forearm as a result of complex open fracture can result in imbalance in the main anatomical structures, leading to impaired function [3].Furthermore, large bone defects occur mainly as a result of extensive bone loss due to pathological events such as trauma, inflammation [1,2], and surgical treatment of tumours [4,5]*. ",Background,NotHarmful,No,1,Diagn Pathol,2014,3/19/2014,Retracted,,,,,,
23777537,24636424,Retracted: Metastatic ovarian papillary cystadenocarcinoma to the small intestine serous surface: report of a case of high-grade histopathologic malignancy,Yes,No,"1:Single bird case reports are mainly of benign thymomas without metastasis, as described in a Java sparrow (Padda oryzivora),8 an African grey parrot (Psittacus erithacus),9 a burrowing owl (Athene cunicularia),10 a Senegal parrot (Poicephalus senegalus),11 and a common myna (Acridotheres tristis).12* Malignant metastatic thymoma in a macaw has not been described previously. 2:However, diagnostic imaging like radiography and computed tomography, both without and with contrast enhancement, are helpful to diagnose a mass of soft density, usually not invading the esophagus, crop, trachea, or cervical spine.10–12* Furthermore, whole-body computed tomography scans are useful to exclude metastasis, especially in the lung. 3:Cytologic examination of fine-needle aspirates in birds can show pleomorphic cells with anisonucleosis and irregular nuclear membranes, dense chromatin, and visible nucleoli as well as mitotic figures*.4:Immunhistochemical testing
can be helpful to differentiate between thymoma and thymic lymphoma by labeling cytokeratins CK14 and CK18, as well as showing positive results for proliferating cell nuclear antigen in cases of thymomas*.5:The World Health Organization nomenclature for human neoplasms seems to be applicable to characterization of thymomas in avian medicine*. 6:However, in review of these 2 cases compared with the case we describe, staging and metastatic behavior of thymomas in birds appears comparable to the classification used in human medicine, as was suggested in a report describing cervical type AB thymoma in a common myna.4,12,14,15*",Discussion,Recommending,No,>1,J Ovarian Res,2014,3/19/2014,Retracted,,,,,,
23777537,24444100,Retracted: Cutaneous mast cell tumor (Mastocytoma): cyto- histopathological and haematological investigations,Yes,Yes,"Mast cell tumors in association with oncocytes thus should be considered supportive evidence of an FNA diagnosis of adenolymphoma. Mastocytosis should be considered in the differential diagnosis of urticaria and solitary mastocytomas may remain active into adolescence, raising concern for systemic progression [7-13]*.",Background,NotHarmful,No,1,Diagn Pathol,2014,1/22/2014,Retracted,,,,,,
23777537,23941603,"Retracted: Comparative value of clinical, cytological, and histopathological features in feline mammary gland tumors; an experimental model for the study of human breast cancer",Yes,No,"In some studies, the fine needle aspiration cytology specimens contained many individual bizarre, multi-nucleated, and/or giant cells having hyperchromatic pleomorphic nuclei, prominent nucleoli, and relatively abundant cytoplasm, admixed with numerous mitotic figures in a hemorrhagic or inflammatory background in human. A small amount of sheet-like or three-dimensional clusters of malignant cells coexisted [26-30].",Discussion,NotHarmful,No,1,Diagn Pathol,2013,8/15/2013,Retracted,,,,,,
