CitedID,CitingID,Title,SharingAuthor,RetractionMentioned,Citation Text,Citation Section,Class,CitedAlone,NoofTime,Journal/Book,Publication Year,Create Date,RetractedClass,S1,S2,S3,S4,S5,AvgSim
24771221,25501701,Cyr61 promotes growth of glioblastoma in vitro and in vivo,No,No,"Glioblastoma multiforme (GBM) is one of the most malignant tumors with extremely poor prognosis despite combined therapy including surgery and radioand chemotherapy [1–3]. Since the GBM localizes in the central nervous system, its growth in a relative limited space appears to be very malignant [1–3]. The tumorigenesis of GBM has been extensively studied in the past decade, whereas our understanding is still limited.",Introduction,NotHarmful,No,>1,Tumour Biol,2015,12/16/2014,NotRetracted,0.8601691,0.83481216,0.8131608,0.5928478,0.9187284,0.803943652
24771221,25431263,Ginsenoside Rh2 inhibits growth of glioblastoma multiforme through mTor,No,No,"1:Glioblastoma multiforme (GBM) is the most malignant cancer originated from human brain, without a significantly effective therapy so far [1–3]. Complex treatments combining neurosurgical resection, radiotherapy, and chemotherapy only result in extremely poor outcome in patients, with a typical life expectation of less than 1 year [1–3]. 2:Since the tumor locates in the brain, which provides a limited space for tumor expansion due to the restriction of cranium, the outgrowth of GBM is extremely severe [1–3]. Hence, understanding of the molecular mechanism regulating GBM growth as well as efficient approaches to interfere with its growth is critical for improving the current therapy for GBM. GBM generally overexpressed epidermal growth factor receptor (EGFR) [2, 4–21].",Introduction,NotHarmful,No,>1,Tumour Biol,2015,11/29/2014,NotRetracted,0.90885574,0.87047726,0.76176584,0.67158586,0.8928808,0.8211131
24771221,26608369,Norcantharidin modulates miR-655-regulated SENP6 protein translation to suppresses invasion of glioblastoma cells,No,No,"Glioblastoma multiforme (GBM) is a severe type of malignant glioma in central nervous system tumors [1–6]. Currently, aggressive therapies combining surgery, radiation, and chemotherapy are applied to treat GBM, while the patients’ survival is still very poor [1–6]. Norcantharidin (NCTD) is the demethylated analog of cantharidin which has been purified from blister beetles.",Introduction,NotHarmful,No,>1,Tumour Biol,2015,11/27/2015,NotRetracted,0.8690184,0.83944136,0.80093336,0.5915571,0.8572868,0.791647404
24771221,26138587,Growth of glioblastoma is inhibited by miR-133-mediated EGFR suppression,No,No,"Glioblastoma multiforme (GBM) is the most common and most malignant primary brain cancer in humans [1–4]. GBM originated from aberrant growth of glial cells, and the patients have an extremely low 5-year survival, due to the relatively high growth of GBM cells in a relatively closed area [1–7]. Hence, the understanding of the molecular regulation of the growth of GBM is critical for improving its treatment.",Introduction,NotHarmful,No,>1,Tumour Biol,2015,7/4/2015,NotRetracted,0.82649297,0.8054057,0.7255006,0.59578574,0.8429803,0.759233062
24771221,25835975,Ginsenoside Rh2 inhibits metastasis of glioblastoma multiforme through Akt-regulated MMP13,No,No,"1:Glioblastoma multiforme (GBM) is the most malignant type of primary brain tumor [1–4]. Although the growth of the tumor cells in a relatively closed space due to the restriction of cranium may partially account for its malignancy, highly invasive nature of glioblastoma cells has been suggested to be the main reason for the failure of current combined therapies with chemotherapy, radiation, and surgery [1–4]. 2:In contrast to most other tissues, there is significantly less ECM in the extracellular milieu of the brain [5]. Hence, ECM could be easily destroyed by modest levels of MMPs. Accumulating evidence has suggested a strong correlation between brain tumor malignancy and MMP activity level [1–4]. MMP2, MMP9, and MMP13 have been shown to be expressed in glioma cells [6–10]. ",Introduction,NotHarmful,No,>1,Tumour Biol,2015,4/4/2015,NotRetracted,0.89320517,0.8794015,0.79604983,0.68788105,0.83439595,0.8181867
24771221,25315188,Androgen receptor signaling regulates growth of glioblastoma multiforme in men,No,No,"Glioblastoma multiforme (GBM) is the most malignant primary human brain cancer with an extremely low 5-year survival ratio in patients, largely because of its location in central nervous system which renders its growth and invasion considerably severe [1–4]. Although comprehension of the molecular regulation of GBM has potential clinical importance, our present knowledge about the tumorigenesis of GBM remains limited. ",Introduction,NotHarmful,No,1,Tumour Biol,2015,10/16/2014,NotRetracted,0.8598604,0.80867136,0.70816815,0.5723077,0.82260907,0.754323336
24771221,26448177,Loss of FOXO1 promotes gastric tumour growth and metastasis through upregulation of human epidermal growth factor receptor 2/neu expression,No,No,"The FOXO1 protein is tightly regulated by multiple posttranslational modifications, including phosphorylation, acetylation, ubiquitination and methylation, and FOXO1 expression is highly variable in different tissues (van der Horst and Burgering, 2007). In human cancers, FOXO1 decreased metastatic potential through the inhibition of matrix metalloproteinase-7 (MMP7) in larynx cancer cells (Ding et al, 2014) or MMP9 in lung cancer cells (Pei et al, 2014) and glioblastoma cells (Chen et al, 2014)*. In contrast, FOXO1 led to an increase in the expression of MMP1 followed by breast cancer cell metastasis (Feng et al, 2011).",Other,NotHarmful,No,1,Br J Cancer,2015,10/9/2015,NotRetracted,0.75821155,0.80715305,0.72829807,0.7646334,0.79502314,0.770663842
24771221,25961789,Larynx carcinoma regulates tumor-associated macrophages through PLGF signaling,No,No,"invasion and metastasis of LC2–4. Cancer cells secrete proteinases to break through extracellular matrix5. The matrix metalloproteinase (MMP) family members are the most important proteinases responsible for the breakdown of extracellular matrix in normal physiological processes and in disease processes, such as cancer metastasis6,7. MMP9 is a member of MMP family, and overexpression of MMP9 has been reported in various cancer in that it facilitates metastatic spread of different cancer cells8–12*, and essentially LC13. Nevertheless, how MMP9 is regulated in LC has not been studied yet.",Introduction,NotHarmful,No,1,Sci Rep,2015,5/12/2015,NotRetracted,0.7826942,0.795936,0.684686,0.7493731,0.78475165,0.75948819
24771221,25227664,MiR-143 inhibits EGFR-signaling-dependent osteosarcoma invasion,No,No,"Activation of the epidermal growth factor receptor (EGFR) signaling is critical for many biological events [7–10], and has been reported in OS in that ErbB2 expression has even been proved to predict for poor outcome in OS patients [11]. However, correlation of EGFR expression and molecules that control OS metastasis has not been drawn. Some therapies have been developed aiming to interfere with intracellular pathways regulated by EGFR in glioblastoma [12–14]*, in lung cancer [15], in larynx carcinoma [16], and in gastric cancer [17]. Moreover, EGFR as a potential therapy target is further justified by the fact that protein expression in these tumors is associated with significantly higher metastasis.",Introduction,NotHarmful,No,1,Tumour Biol,2014,9/18/2014,NotRetracted,0.79791796,0.8469332,0.6698792,0.77411234,0.7570309,
24771221,28774834,Role of Forkhead Box Class O proteins in cancer progression and metastasis,No,No,"1:In contrast, Ko et al. claimed that loss of FoxO1 promotes the growth of gastric cancers including SNU-638, MKN45, SNU-216 and NCI-N87 cells and metastasis by upregulation of human epidermal growth factor receptor 2 (HER2) [68]. Also, Chen et al. suggested that activation of epidermal growth factor (EGF)/epidermal growth factor receptor (EGFR) and its downstream PI3 K/Akt induce FoxO1 nuclear exclusion and MMP9 to promote invasion in A-172 glioblastoma cells [69]*. Likewise, Ding et al. also revealed that nuclear exclusion of Akt downstream FoxO1 by EGF-mediated Akt activation enhanced invasiveness via MMP7 activation in Hep-2 larynx carcinoma cells, which was inhibited by EGFR inhibitor AG1478 or by the PI3 K/Akt inhibitor LY294002 [70]. 2:Emerging evidences reveal that Src is overexpressed in the aggressive cancer cells [91,92] through the metastatic cascades via downregulation of cell adhesion molecule E-cadherin, and upregulation of MMPs [69,93]*. Also, Src was reported to increase cell migration by modulating downstream effectors, such as p130Cas, PEAK, Cool-1, STAT3, and VEGF [94,95].",Other,NotHarmful,No,1,Semin Cancer Biol,2018,8/5/2017,NotRetracted,0.75196713,0.76153004,0.692268,0.75197744,0.7451532,0.740579162
